children,days_employed,dob_years,education,education_id,family_status,family_status_id,gender,income_type,debt,total_income,purpose
0,-4219.88338560805,61,СРЕДНЕЕ,1,в разводе,3,F,компаньон,0,311453.5995296128,покупка своего жилья
0,-3480.072792773725,27,высшее,0,гражданский брак,1,F,сотрудник,0,92238.81311104931,автомобили
0,,54,среднее,1,гражданский брак,1,F,пенсионер,1,,сыграть свадьбу
0,370145.08723718044,64,среднее,1,вдовец / вдова,2,F,пенсионер,0,149141.04353267475,образование
0,-2424.809748937992,44,среднее,1,вдовец / вдова,2,F,сотрудник,0,58616.40596004223,образование
0,-335.31863038428764,36,высшее,0,женат / замужем,0,M,сотрудник,0,414404.2028972774,недвижимость
0,-4341.7867754100425,53,среднее,1,гражданский брак,1,F,компаньон,0,261369.5064850721,операции с недвижимостью
1,-2534.462390327333,48,среднее,1,женат / замужем,0,M,сотрудник,0,129902.28373544553,заняться образованием
0,-2986.20212028634,42,среднее,1,гражданский брак,1,F,сотрудник,0,173987.4729290881,покупка недвижимости
0,-7845.6492334208915,48,Высшее,0,Не женат / не замужем,4,M,госслужащий,0,435388.1952724901,получение высшего образования
0,-1182.5477437277514,45,среднее,1,женат / замужем,0,F,сотрудник,0,110004.35982164997,операции с жильем
0,-118.89141142450093,35,неоконченное высшее,2,Не женат / не замужем,4,M,сотрудник,0,282900.4713076374,сделка с подержанным автомобилем
0,,21,среднее,1,Не женат / не замужем,4,M,компаньон,0,,операции с коммерческой недвижимостью
0,-916.4288292557608,28,среднее,1,женат / замужем,0,M,сотрудник,0,145214.52360210626,заняться образованием
0,,52,высшее,0,женат / замужем,0,F,пенсионер,0,,покупка жилья для семьи
2,-2152.475526346754,46,высшее,0,женат / замужем,0,M,компаньон,0,592071.4645709557,операции с коммерческой недвижимостью
0,-779.2284491479346,23,среднее,1,Не женат / не замужем,4,F,сотрудник,0,91247.05816440447,покупка своего жилья
1,-2802.2266713967297,28,ВЫСШЕЕ,0,женат / замужем,0,M,госслужащий,0,207561.4669982881,покупка коммерческой недвижимости
0,338113.52989248716,62,среднее,1,женат / замужем,0,F,пенсионер,0,43929.69639696845,автомобили
1,,32,высшее,0,женат / замужем,0,M,госслужащий,0,,операции с коммерческой недвижимостью
0,-1631.9394026219366,40,среднее,1,гражданский брак,1,M,сотрудник,0,97946.84101113868,заняться образованием
1,-5110.54370925475,45,среднее,1,женат / замужем,0,F,сотрудник,0,81142.78348993426,покупка жилья для семьи
1,-2953.151947577933,38,среднее,1,женат / замужем,0,M,сотрудник,1,81935.38150009303,операции с недвижимостью
1,-2252.1927219941026,44,высшее,0,женат / замужем,0,M,сотрудник,0,148992.03001020846,на покупку подержанного автомобиля
0,-726.9437706256638,43,высшее,0,Не женат / не замужем,4,F,сотрудник,0,140843.97435987124,свой автомобиль
0,359722.94507371227,61,высшее,0,женат / замужем,0,M,пенсионер,0,175127.64600043945,сделка с автомобилем
0,-3278.296751179717,27,среднее,1,Не женат / не замужем,4,M,компаньон,0,253681.70989067023,автомобили
0,-127.33494240597255,25,среднее,1,Не женат / не замужем,4,F,компаньон,0,82740.41289886518,сделка с автомобилем
0,-204.67316553165557,33,Среднее,1,женат / замужем,0,F,сотрудник,0,110833.21536881481,профильное образование
2,,50,высшее,0,женат / замужем,0,F,сотрудник,0,,жилье
0,,52,среднее,1,женат / замужем,0,M,сотрудник,0,,жилье
0,-7125.21502761462,53,среднее,1,женат / замужем,0,F,госслужащий,0,255909.1728015964,операции со своей недвижимостью
0,-275.99384748839213,30,среднее,1,женат / замужем,0,M,сотрудник,0,54123.55781196013,высшее образование
0,383933.5496643384,64,среднее,1,гражданский брак,1,M,пенсионер,0,243033.45328089237,свадьба
0,337659.5350035947,53,среднее,1,женат / замужем,0,F,пенсионер,0,74363.8565543125,покупка жилья для сдачи
0,373129.7896543124,63,высшее,0,гражданский брак,1,F,пенсионер,0,206872.3500608577,на проведение свадьбы
0,-72.62578520446468,42,среднее,1,гражданский брак,1,F,компаньон,0,49463.91938004758,сделка с подержанным автомобилем
2,,35,высшее,0,женат / замужем,0,F,сотрудник,0,,операции с жильем
2,-5010.9974361252725,39,среднее,1,женат / замужем,0,F,сотрудник,0,155886.85657536547,покупка недвижимости
1,-1669.2796814947967,40,высшее,0,гражданский брак,1,F,сотрудник,0,191397.96274969066,сыграть свадьбу
1,-1446.6225418245374,32,среднее,1,женат / замужем,0,M,сотрудник,1,331139.5902983196,сделка с автомобилем
1,,34,высшее,0,гражданский брак,1,F,компаньон,0,,на проведение свадьбы
0,-541.8322411633181,51,высшее,0,женат / замужем,0,F,сотрудник,0,94187.8780821613,автомобиль
0,,44,СРЕДНЕЕ,1,женат / замужем,0,F,сотрудник,0,,покупка жилой недвижимости
0,,47,высшее,0,женат / замужем,0,F,сотрудник,0,,профильное образование
0,364906.2057355492,54,высшее,0,женат / замужем,0,F,пенсионер,0,199707.2985241309,покупка жилья для сдачи
0,346541.6188949218,0,Среднее,1,женат / замужем,0,F,пенсионер,0,71291.52249055503,автомобиль
0,-605.0264409707586,49,СРЕДНЕЕ,1,вдовец / вдова,2,F,сотрудник,1,176384.8825358073,операции с недвижимостью
0,391558.9618490568,65,среднее,1,женат / замужем,0,F,пенсионер,0,157970.48639320125,на покупку своего автомобиля
0,-1377.4472350796152,51,среднее,1,гражданский брак,1,F,компаньон,0,126706.59851264795,на покупку подержанного автомобиля
1,-888.2833470851367,39,СРЕДНЕЕ,1,Не женат / не замужем,4,F,сотрудник,0,142231.48942162484,строительство недвижимости
0,366323.64942894405,59,среднее,1,Не женат / не замужем,4,F,пенсионер,0,163581.95007326518,покупка жилья для сдачи
0,-2098.6262962257147,62,СРЕДНЕЕ,1,вдовец / вдова,2,F,сотрудник,0,76884.18758751624,строительство собственной недвижимости
1,-300.64259328925505,29,среднее,1,гражданский брак,1,F,сотрудник,0,171871.73288718596,образование
0,-1493.4491168729676,24,высшее,0,гражданский брак,1,F,компаньон,0,202988.76912028992,строительство собственной недвижимости
2,-753.4670420858772,33,высшее,0,гражданский брак,1,F,сотрудник,0,180051.75197761177,сделка с подержанным автомобилем
0,-2147.472607702785,59,среднее,1,женат / замужем,0,F,сотрудник,0,107643.67560995698,образование
0,-413.9826020927449,41,среднее,1,женат / замужем,0,M,госслужащий,0,118551.6078291152,покупка жилья
0,-12930.541677797675,61,среднее,1,Не женат / не замужем,4,F,компаньон,0,173896.61827401767,недвижимость
1,-1841.3580944791947,28,высшее,0,женат / замужем,0,M,сотрудник,0,280934.30586873967,недвижимость
0,-6083.9947296293385,52,среднее,1,женат / замужем,0,F,госслужащий,0,120655.09825833779,образование
0,-1599.8791614370475,26,высшее,0,женат / замужем,0,F,сотрудник,1,143471.7122774315,операции со своей недвижимостью
1,-2523.847898226973,38,высшее,0,женат / замужем,0,F,госслужащий,0,97848.2766110214,операции с коммерческой недвижимостью
1,-540.0384252136863,50,среднее,1,женат / замужем,0,M,сотрудник,0,83366.31969915295,покупка жилой недвижимости
0,-3817.113294534001,41,среднее,1,в разводе,3,F,сотрудник,0,178975.13357434978,на покупку автомобиля
2,-2774.655137092032,33,среднее,1,гражданский брак,1,M,компаньон,0,113572.21337646275,на проведение свадьбы
0,382189.12905557256,60,среднее,1,Не женат / не замужем,4,F,пенсионер,0,31534.750497334928,покупка коммерческой недвижимости
0,,46,среднее,1,женат / замужем,0,F,сотрудник,0,,высшее образование
0,,29,высшее,0,женат / замужем,0,F,компаньон,0,,автомобиль
0,-171.1624207214407,55,ВЫСШЕЕ,0,женат / замужем,0,F,компаньон,0,103628.07085383665,автомобили
2,-5718.70890108714,39,Среднее,1,женат / замужем,0,M,сотрудник,0,83892.81598726273,покупка жилья для сдачи
0,-1080.5147824251621,38,среднее,1,женат / замужем,0,F,сотрудник,1,175046.42251455868,операции с коммерческой недвижимостью
0,-191.1467457844417,64,высшее,0,гражданский брак,1,F,компаньон,0,186408.7418299351,свадьба
1,-2471.5485518184228,49,среднее,1,женат / замужем,0,M,компаньон,0,339517.3610727709,строительство собственной недвижимости
0,-5229.55206892918,43,ВЫСШЕЕ,0,Не женат / не замужем,4,F,сотрудник,0,203279.59982532426,строительство жилой недвижимости
0,379035.9206190428,67,среднее,1,в разводе,3,F,пенсионер,0,112331.78706716756,сделка с автомобилем
0,361010.32134996407,61,среднее,1,гражданский брак,1,M,пенсионер,0,103644.93254718713,автомобиль
0,-897.3228055367267,42,среднее,1,женат / замужем,0,F,компаньон,0,95845.74470717036,операции со своей недвижимостью
0,-639.5647075616622,58,среднее,1,женат / замужем,0,M,сотрудник,0,73637.58619017908,получение дополнительного образования
1,-1306.4284560155902,45,среднее,1,женат / замужем,0,M,сотрудник,0,246227.99254138194,автомобиль
0,344507.39278483123,64,среднее,1,женат / замужем,0,F,пенсионер,0,79047.6530585805,образование
1,-4171.107677064886,46,НЕОКОНЧЕННОЕ ВЫСШЕЕ,2,в разводе,3,F,сотрудник,0,166015.79050422882,покупка жилой недвижимости
0,,27,среднее,1,женат / замужем,0,M,компаньон,0,,жилье
0,357880.1593788016,60,начальное,3,женат / замужем,0,M,пенсионер,0,113124.20278145475,операции со своей недвижимостью
1,-1910.0375923185568,28,высшее,0,гражданский брак,1,M,сотрудник,0,269423.96295991854,сыграть свадьбу
0,-2572.053172717263,43,среднее,1,женат / замужем,0,F,госслужащий,0,119827.65424532481,покупка своего жилья
0,-1765.5573866944574,29,неоконченное высшее,2,женат / замужем,0,M,компаньон,0,196932.07728901433,ремонт жилью
0,-3017.782065456124,24,среднее,1,гражданский брак,1,F,сотрудник,0,102110.98914883527,покупка коммерческой недвижимости
0,,39,среднее,1,гражданский брак,1,M,сотрудник,0,,свадьба
0,347947.83550738037,54,среднее,1,женат / замужем,0,F,пенсионер,0,108280.64485742812,сделка с подержанным автомобилем
0,-1893.2998286398856,48,среднее,1,вдовец / вдова,2,F,сотрудник,0,151069.43847035486,строительство собственной недвижимости
1,-2105.382664335544,45,среднее,1,гражданский брак,1,F,сотрудник,0,284248.0832952967,свой автомобиль
0,,62,среднее,1,женат / замужем,0,M,пенсионер,0,,строительство недвижимости
0,-1302.0260419746796,46,среднее,1,женат / замужем,0,F,сотрудник,0,98709.73054718717,покупка жилья
0,-5772.479895574409,47,среднее,1,женат / замужем,0,F,госслужащий,1,74535.09733065074,операции с недвижимостью
0,-5050.292839852283,37,среднее,1,женат / замужем,0,F,сотрудник,0,145159.21497712686,на покупку своего автомобиля
0,-2664.273168317157,0,среднее,1,в разводе,3,F,сотрудник,0,70176.43595051017,операции с жильем
0,393711.51992267795,71,среднее,1,гражданский брак,1,F,пенсионер,0,174088.29322065786,сыграть свадьбу
0,-896.462371368615,37,высшее,0,гражданский брак,1,F,компаньон,0,463089.9792084557,сыграть свадьбу
1,-3597.776387865821,39,среднее,1,женат / замужем,0,F,компаньон,0,40891.12824378687,покупка своего жилья
1,-132.74853603066168,20,среднее,1,женат / замужем,0,M,компаньон,1,134750.74951489054,жилье
1,-1803.9306052678608,41,высшее,0,вдовец / вдова,2,F,сотрудник,0,143113.3292930616,операции с коммерческой недвижимостью
0,-1208.5961786776136,40,среднее,1,женат / замужем,0,F,компаньон,0,70788.33944690305,дополнительное образование
0,362366.8571652186,65,Среднее,1,женат / замужем,0,M,пенсионер,0,261291.0364533132,получение дополнительного образования
0,348414.02800940943,38,среднее,1,женат / замужем,0,F,пенсионер,1,113560.65003534064,сделка с автомобилем
0,-11001.589092067063,56,среднее,1,женат / замужем,0,F,сотрудник,0,80547.23925773834,образование
0,371052.6968127112,59,среднее,1,Не женат / не замужем,4,F,пенсионер,0,149542.8588742301,на покупку своего автомобиля
0,-2063.2234729922893,45,среднее,1,гражданский брак,1,M,сотрудник,0,198386.798958856,покупка жилья для сдачи
1,-1147.591637441718,39,высшее,0,женат / замужем,0,F,сотрудник,0,87107.11820547588,приобретение автомобиля
0,-3755.843042173655,62,среднее,1,женат / замужем,0,M,сотрудник,0,66577.61712641187,получение дополнительного образования
0,-7473.902957321618,50,среднее,1,женат / замужем,0,M,сотрудник,0,78975.57711163633,ремонт жилью
2,-2357.523213608679,27,высшее,0,женат / замужем,0,F,сотрудник,1,369587.0876962028,на покупку своего автомобиля
2,-1268.8706856224185,32,высшее,0,женат / замужем,0,M,госслужащий,0,228289.248361869,покупка жилья
0,-450.0613423824006,38,Среднее,1,гражданский брак,1,M,сотрудник,0,144073.71137831223,операции с жильем
0,-7219.276087439847,56,среднее,1,гражданский брак,1,F,госслужащий,0,220719.05505659032,на проведение свадьбы
0,361970.2205052443,67,среднее,1,вдовец / вдова,2,F,пенсионер,0,139038.94464450798,покупка своего жилья
0,372110.89295327937,58,среднее,1,гражданский брак,1,F,пенсионер,0,167861.70077631506,приобретение автомобиля
0,-182.2267232528777,28,высшее,0,Не женат / не замужем,4,M,сотрудник,0,121721.8927765662,жилье
0,-9566.241471478188,60,среднее,1,гражданский брак,1,F,компаньон,0,225197.795335085,на проведение свадьбы
0,-4652.167869366604,49,среднее,1,женат / замужем,0,F,сотрудник,0,182980.11560336113,строительство недвижимости
0,-9099.945304784307,49,среднее,1,женат / замужем,0,M,компаньон,0,416461.874680372,покупка коммерческой недвижимости
0,,55,высшее,0,вдовец / вдова,2,F,компаньон,0,,свой автомобиль
2,-1734.7410117276208,38,среднее,1,женат / замужем,0,F,сотрудник,0,141210.68421368927,строительство недвижимости
0,364178.2549302824,60,среднее,1,женат / замужем,0,F,пенсионер,0,104621.06741141542,заняться высшим образованием
2,-2109.314690632105,48,среднее,1,женат / замужем,0,M,госслужащий,0,173074.19294233265,сделка с подержанным автомобилем
0,395728.36139811255,59,среднее,1,вдовец / вдова,2,F,пенсионер,0,87268.77878594003,приобретение автомобиля
0,-1177.0553834454738,43,среднее,1,Не женат / не замужем,4,F,сотрудник,0,177790.01385692504,покупка своего жилья
0,-60.6373275553343,37,среднее,1,гражданский брак,1,F,сотрудник,0,212257.2125065801,сыграть свадьбу
0,,26,среднее,1,гражданский брак,1,F,компаньон,1,,покупка жилья для семьи
1,-8164.333209415941,49,среднее,1,гражданский брак,1,F,сотрудник,0,81419.70340277969,свадьба
1,-166.26503703628762,35,высшее,0,гражданский брак,1,M,компаньон,1,272193.00295690284,получение дополнительного образования
0,369682.2227151696,57,высшее,0,женат / замужем,0,M,пенсионер,0,141337.86704165823,покупка жилья для сдачи
0,-5026.2294602728525,32,среднее,1,гражданский брак,1,M,сотрудник,1,160905.70703999972,получение дополнительного образования
0,-225.1236894800484,34,среднее,1,в разводе,3,F,сотрудник,0,201650.35527091235,операции с коммерческой недвижимостью
0,-876.8431101663022,46,высшее,0,гражданский брак,1,F,сотрудник,0,260037.6656030533,высшее образование
0,-99.19594695041458,48,среднее,1,женат / замужем,0,M,сотрудник,0,173544.6795225835,покупка своего жилья
1,,30,среднее,1,Не женат / не замужем,4,F,сотрудник,0,,свой автомобиль
0,-335.5229563354112,26,среднее,1,гражданский брак,1,M,компаньон,0,160891.47206000533,на проведение свадьбы
0,336562.0164318586,60,СРЕДНЕЕ,1,женат / замужем,0,F,пенсионер,0,173948.35223498062,высшее образование
0,-2573.1367803783523,47,среднее,1,женат / замужем,0,M,сотрудник,0,218442.0077563275,свой автомобиль
0,386330.8511360464,60,высшее,0,в разводе,3,F,пенсионер,0,97191.99640027812,на покупку подержанного автомобиля
0,-98.31216168444011,24,среднее,1,гражданский брак,1,M,компаньон,0,135860.8870305674,получение образования
0,-117.12788647939188,51,среднее,1,женат / замужем,0,F,сотрудник,0,255838.3616801636,дополнительное образование
0,-1589.7814009573162,37,высшее,0,женат / замужем,0,F,компаньон,0,160754.5480823424,покупка своего жилья
0,-12136.131380846335,59,высшее,0,женат / замужем,0,F,сотрудник,0,140849.62459987565,покупка недвижимости
0,-1403.0808299019186,52,среднее,1,Не женат / не замужем,4,F,компаньон,0,139169.41346167913,на покупку своего автомобиля
1,-223.5470176888244,23,Среднее,1,вдовец / вдова,2,F,сотрудник,0,58549.627394318864,сделка с подержанным автомобилем
0,-5532.372185033889,41,среднее,1,гражданский брак,1,F,сотрудник,0,201126.0474025323,строительство недвижимости
0,-6542.460790155981,39,среднее,1,женат / замужем,0,F,компаньон,0,86996.80722956106,покупка жилой недвижимости
1,-1575.3235775718508,38,среднее,1,женат / замужем,0,F,сотрудник,1,90960.94119189213,покупка жилой недвижимости
0,-2829.665755236844,56,СРЕДНЕЕ,1,женат / замужем,0,M,сотрудник,0,163774.77340601108,строительство собственной недвижимости
0,334637.4644627627,61,среднее,1,женат / замужем,0,F,пенсионер,0,181307.7994224636,строительство жилой недвижимости
1,,31,высшее,0,женат / замужем,0,F,сотрудник,0,,на покупку подержанного автомобиля
0,363924.8816676821,54,Среднее,1,женат / замужем,0,F,пенсионер,0,267172.7091996921,получение образования
0,-1352.3179068855802,37,среднее,1,Не женат / не замужем,4,F,сотрудник,0,112735.87896430984,покупка своего жилья
0,-749.1756772991432,22,среднее,1,гражданский брак,1,M,компаньон,0,162492.01844851565,профильное образование
2,-271.5705315052388,38,высшее,0,женат / замужем,0,F,сотрудник,0,195133.38745708505,операции с коммерческой недвижимостью
2,342167.21211236675,55,начальное,3,вдовец / вдова,2,F,пенсионер,0,160635.12034694868,строительство жилой недвижимости
0,-577.2734342991156,41,начальное,3,гражданский брак,1,F,сотрудник,0,36649.0784390092,сделка с подержанным автомобилем
0,-5863.259029756954,48,высшее,0,Не женат / не замужем,4,M,госслужащий,0,239697.6161592209,приобретение автомобиля
1,-703.2435102199611,38,высшее,0,гражданский брак,1,M,сотрудник,1,231389.83279440692,на покупку автомобиля
2,-1321.0792231329488,41,неоконченное высшее,2,женат / замужем,0,F,сотрудник,0,314546.9933727884,покупка жилья для семьи
0,-79.88034967664467,42,высшее,0,Не женат / не замужем,4,F,компаньон,0,260465.3944997188,операции с недвижимостью
0,-356.13119436148077,22,высшее,0,гражданский брак,1,F,сотрудник,0,118757.77013512445,образование
0,384569.9216399707,54,среднее,1,гражданский брак,1,F,пенсионер,0,269589.0051292617,строительство собственной недвижимости
1,-2924.5983864777645,34,среднее,1,женат / замужем,0,F,сотрудник,1,213214.0924519784,на покупку своего автомобиля
0,-597.2734021772915,21,неоконченное высшее,2,гражданский брак,1,F,компаньон,0,86954.92246460478,операции с коммерческой недвижимостью
1,,23,неоконченное высшее,2,гражданский брак,1,F,компаньон,0,,сыграть свадьбу
0,383772.1713231299,65,среднее,1,вдовец / вдова,2,F,пенсионер,0,178464.0801124702,автомобили
0,-145.541617523979,32,высшее,0,женат / замужем,0,M,компаньон,0,188982.67257001039,покупка жилой недвижимости
0,337679.3582702238,61,среднее,1,в разводе,3,F,пенсионер,0,110251.170412476,операции с коммерческой недвижимостью
2,-1024.9491604702278,41,среднее,1,женат / замужем,0,F,компаньон,0,94587.13139055832,покупка своего жилья
0,-434.9313375154888,52,среднее,1,женат / замужем,0,F,сотрудник,0,153892.26560479988,строительство недвижимости
1,-2066.908426077889,30,среднее,1,женат / замужем,0,F,госслужащий,0,132754.36261306456,получение высшего образования
1,-1588.8316419325315,64,высшее,0,гражданский брак,1,F,сотрудник,0,142424.64353092152,жилье
0,339193.0942916696,60,среднее,1,Не женат / не замужем,4,F,пенсионер,0,190426.12751817648,ремонт жилью
0,336747.83528374555,73,среднее,1,вдовец / вдова,2,F,пенсионер,0,136897.0083753175,сделка с подержанным автомобилем
1,-2049.211575996865,28,среднее,1,гражданский брак,1,M,компаньон,1,188585.6447572717,свадьба
1,-144.18585382423603,41,СРЕДНЕЕ,1,женат / замужем,0,F,сотрудник,1,112090.59753315602,покупка жилья для семьи
0,-3803.807419355826,49,среднее,1,гражданский брак,1,F,сотрудник,0,74616.8762361815,свадьба
1,-1475.6974900681141,50,среднее,1,женат / замужем,0,F,сотрудник,0,143391.07142392333,на покупку автомобиля
0,-5865.31500734791,52,среднее,1,Не женат / не замужем,4,F,сотрудник,0,140447.6939909726,профильное образование
0,-1031.9076040874072,50,среднее,1,женат / замужем,0,F,сотрудник,0,125165.9401116094,жилье
0,395825.13252984686,59,среднее,1,женат / замужем,0,F,пенсионер,0,142956.54589458782,на покупку автомобиля
2,-2585.402858170127,37,среднее,1,женат / замужем,0,M,сотрудник,0,202689.7570034978,покупка недвижимости
0,-708.0735831904608,44,среднее,1,гражданский брак,1,F,сотрудник,0,235437.4092191936,на проведение свадьбы
0,-5267.841785143054,43,среднее,1,женат / замужем,0,M,сотрудник,0,436688.7692746029,операции с недвижимостью
0,-4973.6414847747665,47,среднее,1,вдовец / вдова,2,F,компаньон,0,132797.24369500572,покупка коммерческой недвижимости
0,,47,среднее,1,женат / замужем,0,M,сотрудник,0,,строительство собственной недвижимости
0,,58,среднее,1,женат / замужем,0,F,госслужащий,0,,покупка своего жилья
0,-464.6341336266803,49,высшее,0,гражданский брак,1,M,компаньон,0,383743.1531675507,свадьба
0,-879.5873497728171,48,среднее,1,гражданский брак,1,F,сотрудник,0,130945.61086463359,высшее образование
0,-1933.31899355189,50,Среднее,1,в разводе,3,M,сотрудник,0,197169.81331307805,покупка жилой недвижимости
1,-1598.8702140303076,40,среднее,1,женат / замужем,0,F,компаньон,0,158350.07693986595,строительство недвижимости
1,,60,высшее,0,женат / замужем,0,F,пенсионер,1,,заняться высшим образованием
0,-3132.180734195495,31,среднее,1,женат / замужем,0,M,сотрудник,0,259511.2005023471,покупка жилой недвижимости
0,-1615.9148140204693,29,высшее,0,женат / замужем,0,F,сотрудник,0,188190.33840575285,получение высшего образования
0,,54,высшее,0,женат / замужем,0,F,сотрудник,0,,сделка с подержанным автомобилем
0,380628.3793297923,71,среднее,1,вдовец / вдова,2,F,пенсионер,0,138877.16323401802,покупка коммерческой недвижимости
1,-5793.741211736386,35,среднее,1,женат / замужем,0,F,компаньон,0,230040.1246407123,покупка жилья
0,357915.03630280367,63,среднее,1,вдовец / вдова,2,F,пенсионер,0,91947.7686715459,получение высшего образования
